text,role
python pandas numpy data analysis,Data Analyst
data cleaning using pandas,Data Analyst
excel data analysis and charts,Data Analyst
sql queries for data analysis,Data Analyst
data visualization using matplotlib,Data Analyst
business analytics and reporting,Data Analyst
analyze large datasets,Data Analyst
statistics and probability analysis,Data Analyst
data dashboards using excel,Data Analyst
data mining techniques,Data Analyst
report generation and insights,Data Analyst
data wrangling and preprocessing,Data Analyst
analyze customer data trends,Data Analyst
financial data analysis,Data Analyst
data interpretation and visualization,Data Analyst

html css javascript web development,Web Developer
responsive design using bootstrap,Web Developer
frontend development using react,Web Developer
create modern websites,Web Developer
dynamic websites using javascript,Web Developer
landing page design,Web Developer
web ui development,Web Developer
build static web pages,Web Developer
interactive ui with javascript,Web Developer
website layout design,Web Developer
frontend optimization,Web Developer
user interface development,Web Developer
web styling using css,Web Developer
mobile responsive websites,Web Developer
web animations using css js,Web Developer

django backend development,Backend Developer
flask api development,Backend Developer
server side programming python,Backend Developer
database integration backend,Backend Developer
rest api development,Backend Developer
user authentication systems,Backend Developer
node js backend services,Backend Developer
api integration development,Backend Developer
web server logic,Backend Developer
handle backend database,Backend Developer
scalable backend systems,Backend Developer
microservices backend architecture,Backend Developer
backend debugging and testing,Backend Developer
secure backend development,Backend Developer
server deployment backend,Backend Developer

machine learning using sklearn,ML Engineer
ai model development,ML Engineer
deep learning tensorflow keras,ML Engineer
natural language processing nlp,ML Engineer
model tuning and evaluation,ML Engineer
data science ml algorithms,ML Engineer
predictive modeling,ML Engineer
classification algorithms,ML Engineer
clustering and unsupervised learning,ML Engineer
feature engineering,ML Engineer
training neural networks,ML Engineer
image recognition models,ML Engineer
text classification models,ML Engineer
ai research and development,ML Engineer
model deployment ml,ML Engineer

sql database management,Database Administrator
mysql queries and optimization,Database Administrator
database design normalization,Database Administrator
manage relational databases,Database Administrator
performance tuning database,Database Administrator
data storage solutions,Database Administrator
backup and recovery database,Database Administrator
database security management,Database Administrator
complex sql queries,Database Administrator
database administration tasks,Database Administrator
database indexing techniques,Database Administrator
nosql database handling,Database Administrator
data consistency management,Database Administrator
database migration,Database Administrator
cloud database services,Database Administrator

android app development java,Mobile Developer
kotlin mobile apps,Mobile Developer
ios app development swift,Mobile Developer
mobile ui design,Mobile Developer
react native apps,Mobile Developer
flutter mobile apps,Mobile Developer
mobile application testing,Mobile Developer
cross platform apps,Mobile Developer
mobile performance optimization,Mobile Developer
app deployment play store,Mobile Developer
mobile debugging,Mobile Developer
api integration mobile apps,Mobile Developer
offline mobile apps,Mobile Developer
user friendly mobile ui,Mobile Developer
mobile backend integration,Mobile Developer

cybersecurity basics and networking,Cybersecurity Analyst
ethical hacking penetration testing,Cybersecurity Analyst
network security protocols,Cybersecurity Analyst
cyber threat analysis,Cybersecurity Analyst
security vulnerability assessment,Cybersecurity Analyst
firewall configuration,Cybersecurity Analyst
data encryption techniques,Cybersecurity Analyst
malware analysis,Cybersecurity Analyst
security monitoring systems,Cybersecurity Analyst
incident response security,Cybersecurity Analyst
risk assessment cybersecurity,Cybersecurity Analyst
secure coding practices,Cybersecurity Analyst
phishing detection,Cybersecurity Analyst
network intrusion detection,Cybersecurity Analyst
security audits and compliance,Cybersecurity Analyst
